District,Area (km2),Population (2011 Census),Density
Ahmednagar,17048,4543159,234.77
Akola,5428,1813906,300.78
Amravati,12235,2888445,206.4
Aurangabad,10100,3701282,286.83
Beed,10693,2585049,207.04
Bhandara,3717,1200334,305.58
Buldhana,9661,2486258,230.63
Chandrapur,11443,2204307,193.65
Dhule,7195,2050862,211.83
Gadchiroli,14412,1072942,67.33
Gondia,5234,1322507,247.81
Hingoli,4526,1177345,218.11
Jalgaon,11765,4229917,312.79
Jalna,7687,1959046,211.82
Kolhapur,7685,3876001,457.44
Latur,7157,2454196,282.19
Mumbai City,157,3085411,49140.9
Mumbai Suburban,446,9356962,23271
Nagpur,9892,4653570,409.36
Nanded,10528,3361292,275.98
Nandurbar,5955,1648295,260
Nashik,15582,6107187,321.56
Osmanabad,7569,1657576,197.89
Palghar,5344,2990116,562
Parbhani,6251,1836086,244.4
Pune,15643,9429408,461.85
Raigad,7152,2634200,308.89
Ratnagiri,8208,1615069,206.72
Sangli,8578,2822143,301.18
Satara,10480,3003741,266.77
Sindhudurg,5207,849651,166.86
Solapur,14895,4317756,259.32
Thane,4214,11060148,850.71
Wardha,6310,1300774,195.03
Washim,5150,1197160,275.98
Yavatmal,13582,2772348,152.93
